Toronto and East York District,OPA / Rezoning,21 234490 STE 13 OZ,621 YONGE ST    ,2021-11-05,Application Received,"Official Plan and Zoning by-law amendment to facilitate the redevelopment of the site for a 57-storey mixed-use building having a non-residential gross floor area of 3133.48 square metres, and a residential gross floor area of 46114.38 square metres.  A total of 606 dwelling units are proposed.",619-637 YONGE ST & 1-9 ISABELLA ST,1904
Toronto and East York District,OPA / Rezoning,21 234490 STE 13 OZ,623A YONGE ST    ,2021-11-05,Application Received,"Official Plan and Zoning by-law amendment to facilitate the redevelopment of the site for a 57-storey mixed-use building having a non-residential gross floor area of 3133.48 square metres, and a residential gross floor area of 46114.38 square metres.  A total of 606 dwelling units are proposed.",619-637 YONGE ST & 1-9 ISABELLA ST,1904
Toronto and East York District,OPA / Rezoning,21 234490 STE 13 OZ,623B YONGE ST    ,2021-11-05,Application Received,"Official Plan and Zoning by-law amendment to facilitate the redevelopment of the site for a 57-storey mixed-use building having a non-residential gross floor area of 3133.48 square metres, and a residential gross floor area of 46114.38 square metres.  A total of 606 dwelling units are proposed.",619-637 YONGE ST & 1-9 ISABELLA ST,1904
Toronto and East York District,OPA / Rezoning,21 234490 STE 13 OZ,623 YONGE ST    ,2021-11-05,Application Received,"Official Plan and Zoning by-law amendment to facilitate the redevelopment of the site for a 57-storey mixed-use building having a non-residential gross floor area of 3133.48 square metres, and a residential gross floor area of 46114.38 square metres.  A total of 606 dwelling units are proposed.",619-637 YONGE ST & 1-9 ISABELLA ST,1904
Toronto and East York District,OPA / Rezoning,21 234490 STE 13 OZ,627 YONGE ST    ,2021-11-05,Application Received,"Official Plan and Zoning by-law amendment to facilitate the redevelopment of the site for a 57-storey mixed-use building having a non-residential gross floor area of 3133.48 square metres, and a residential gross floor area of 46114.38 square metres.  A total of 606 dwelling units are proposed.",619-637 YONGE ST & 1-9 ISABELLA ST,1904
Toronto and East York District,OPA / Rezoning,21 234490 STE 13 OZ,629 YONGE ST    ,2021-11-05,Application Received,"Official Plan and Zoning by-law amendment to facilitate the redevelopment of the site for a 57-storey mixed-use building having a non-residential gross floor area of 3133.48 square metres, and a residential gross floor area of 46114.38 square metres.  A total of 606 dwelling units are proposed.",619-637 YONGE ST & 1-9 ISABELLA ST,1904
Toronto and East York District,OPA / Rezoning,21 234490 STE 13 OZ,631 YONGE ST    ,2021-11-05,Application Received,"Official Plan and Zoning by-law amendment to facilitate the redevelopment of the site for a 57-storey mixed-use building having a non-residential gross floor area of 3133.48 square metres, and a residential gross floor area of 46114.38 square metres.  A total of 606 dwelling units are proposed.",619-637 YONGE ST & 1-9 ISABELLA ST,1904
Toronto and East York District,OPA / Rezoning,21 234490 STE 13 OZ,633 YONGE ST    ,2021-11-05,Application Received,"Official Plan and Zoning by-law amendment to facilitate the redevelopment of the site for a 57-storey mixed-use building having a non-residential gross floor area of 3133.48 square metres, and a residential gross floor area of 46114.38 square metres.  A total of 606 dwelling units are proposed.",619-637 YONGE ST & 1-9 ISABELLA ST,1904
Toronto and East York District,OPA / Rezoning,21 234490 STE 13 OZ,635 YONGE ST    ,2021-11-05,Application Received,"Official Plan and Zoning by-law amendment to facilitate the redevelopment of the site for a 57-storey mixed-use building having a non-residential gross floor area of 3133.48 square metres, and a residential gross floor area of 46114.38 square metres.  A total of 606 dwelling units are proposed.",619-637 YONGE ST & 1-9 ISABELLA ST,1904
Toronto and East York District,OPA / Rezoning,21 234490 STE 13 OZ,637 YONGE ST    ,2021-11-05,Application Received,"Official Plan and Zoning by-law amendment to facilitate the redevelopment of the site for a 57-storey mixed-use building having a non-residential gross floor area of 3133.48 square metres, and a residential gross floor area of 46114.38 square metres.  A total of 606 dwelling units are proposed.",619-637 YONGE ST & 1-9 ISABELLA ST,1904
Toronto and East York District,OPA / Rezoning,21 234490 STE 13 OZ,7 ISABELLA ST    ,2021-11-05,Application Received,"Official Plan and Zoning by-law amendment to facilitate the redevelopment of the site for a 57-storey mixed-use building having a non-residential gross floor area of 3133.48 square metres, and a residential gross floor area of 46114.38 square metres.  A total of 606 dwelling units are proposed.",619-637 YONGE ST & 1-9 ISABELLA ST,1904
Toronto and East York District,OPA / Rezoning,21 232980 STE 12 OZ,5 RAGLAN AVE    ,2021-11-01,Application Received,"Draft By-law Amendment application to facilitate the redevelopment of the sites for a 24-storey residential building having a gross floor area of 14,667.1 square metres.  A total of 170 dwelling units are proposed.",5-15 RAGLAN AVE,1.90405E+18
Toronto and East York District,OPA / Rezoning,21 232980 STE 12 OZ,7 RAGLAN AVE    ,2021-11-01,Application Received,"Draft By-law Amendment application to facilitate the redevelopment of the sites for a 24-storey residential building having a gross floor area of 14,667.1 square metres.  A total of 170 dwelling units are proposed.",5-15 RAGLAN AVE,1.90405E+18
Toronto and East York District,OPA / Rezoning,21 232980 STE 12 OZ,9 RAGLAN AVE    ,2021-11-01,Application Received,"Draft By-law Amendment application to facilitate the redevelopment of the sites for a 24-storey residential building having a gross floor area of 14,667.1 square metres.  A total of 170 dwelling units are proposed.",5-15 RAGLAN AVE,1.91401E+18
Toronto and East York District,OPA / Rezoning,21 232980 STE 12 OZ,11 RAGLAN AVE    ,2021-11-01,Application Received,"Draft By-law Amendment application to facilitate the redevelopment of the sites for a 24-storey residential building having a gross floor area of 14,667.1 square metres.  A total of 170 dwelling units are proposed.",5-15 RAGLAN AVE,1.91401E+18
Toronto and East York District,OPA / Rezoning,21 232980 STE 12 OZ,13 RAGLAN AVE    ,2021-11-01,Application Received,"Draft By-law Amendment application to facilitate the redevelopment of the sites for a 24-storey residential building having a gross floor area of 14,667.1 square metres.  A total of 170 dwelling units are proposed.",5-15 RAGLAN AVE,1.91401E+18
Toronto and East York District,OPA / Rezoning,21 232980 STE 12 OZ,15 RAGLAN AVE    ,2021-11-01,Application Received,"Draft By-law Amendment application to facilitate the redevelopment of the sites for a 24-storey residential building having a gross floor area of 14,667.1 square metres.  A total of 170 dwelling units are proposed.",5-15 RAGLAN AVE,1.91401E+18
Toronto and East York District,OPA / Rezoning,21 234044 STE 11 OZ,69 YORKVILLE AVE    ,2021-11-04,Application Received,"Official Plan and Zoning By-law Amendment Applicaiton to facilitate the redevelopment of the site for a 29-storey mixed-use building having a non-residential gross floor area of 1441.0 square metres, and a residential gross floor area of 14189.0 square metres.  A total of 143 residential dwelling units are proposed.",69 YORKVILLE AVE,1.90405E+18
Toronto and East York District,OPA / Rezoning,21 235167 STE 13 OZ,10 HUNTLEY ST    ,2021-11-07,Application Received,Official Plan and Zoning by-law amendment application to facilitate the redevelopment of the site for a 29-storey residential building having a gross floor area of 15000 square metres. 213 new rental units are proposed on the site.  The existing 20-storey apartment building containing 117 units will be maintained.,10 HUNTLEY ST,1.90407E+18
North York District,OPA / Rezoning,21 234009 NNY 15 OZ,136 BROADWAY AVE    ,2021-11-04,Application Received,"Zoning By-law Amendment appliction to facilitate the redevelopment of the site for a 12-storey residential building having a gross floor area of 8061.0 square metres.  A total of 111 residential dwelling units are proposed, of which, 39 are rental replacement units.",136 BROADWAY AVE,1.9041E+18
Toronto and East York District,OPA / Rezoning,21 235108 STE 13 OZ,225 QUEEN ST E  ,2021-11-07,Application Received,"Zoning by-law amendment application to faciltate the redevelopment of the site for a 31-storey mixed-use building having a non-residential gross floor area of 512 square metres, and a residential gross floor area of 22,627.0 square metres. A total of 340 units are proposed.","225-229 QUEEN STREET E & 120,122, 124 & 134 SHERBOURNE STREET",1.90406E+18
Toronto and East York District,OPA / Rezoning,21 235108 STE 13 OZ,229 QUEEN ST E  ,2021-11-07,Application Received,"Zoning by-law amendment application to faciltate the redevelopment of the site for a 31-storey mixed-use building having a non-residential gross floor area of 512 square metres, and a residential gross floor area of 22,627.0 square metres. A total of 340 units are proposed.","225-229 QUEEN STREET E & 120,122, 124 & 134 SHERBOURNE STREET",1.90406E+18
Toronto and East York District,OPA / Rezoning,21 235108 STE 13 OZ,122 SHERBOURNE ST    ,2021-11-07,Application Received,"Zoning by-law amendment application to faciltate the redevelopment of the site for a 31-storey mixed-use building having a non-residential gross floor area of 512 square metres, and a residential gross floor area of 22,627.0 square metres. A total of 340 units are proposed.","225-229 QUEEN STREET E & 120,122, 124 & 134 SHERBOURNE STREET",1.90406E+18
Toronto and East York District,OPA / Rezoning,21 235108 STE 13 OZ,120 SHERBOURNE ST    ,2021-11-07,Application Received,"Zoning by-law amendment application to faciltate the redevelopment of the site for a 31-storey mixed-use building having a non-residential gross floor area of 512 square metres, and a residential gross floor area of 22,627.0 square metres. A total of 340 units are proposed.","225-229 QUEEN STREET E & 120,122, 124 & 134 SHERBOURNE STREET",1.90406E+18
Toronto and East York District,OPA / Rezoning,21 235108 STE 13 OZ,227 QUEEN ST E  ,2021-11-07,Application Received,"Zoning by-law amendment application to faciltate the redevelopment of the site for a 31-storey mixed-use building having a non-residential gross floor area of 512 square metres, and a residential gross floor area of 22,627.0 square metres. A total of 340 units are proposed.","225-229 QUEEN STREET E & 120,122, 124 & 134 SHERBOURNE STREET",1904
Toronto and East York District,OPA / Rezoning,21 235108 STE 13 OZ,124 SHERBOURNE ST    ,2021-11-07,Application Received,"Zoning by-law amendment application to faciltate the redevelopment of the site for a 31-storey mixed-use building having a non-residential gross floor area of 512 square metres, and a residential gross floor area of 22,627.0 square metres. A total of 340 units are proposed.","225-229 QUEEN STREET E & 120,122, 124 & 134 SHERBOURNE STREET",1904
Toronto and East York District,OPA / Rezoning,21 235108 STE 13 OZ,134 SHERBOURNE ST    ,2021-11-07,Application Received,"Zoning by-law amendment application to faciltate the redevelopment of the site for a 31-storey mixed-use building having a non-residential gross floor area of 512 square metres, and a residential gross floor area of 22,627.0 square metres. A total of 340 units are proposed.","225-229 QUEEN STREET E & 120,122, 124 & 134 SHERBOURNE STREET",1904
Etobicoke York District,OPA / Rezoning,21 234039 WET 05 OZ,1871 WESTON RD    ,2021-11-04,Under Review ,"Proposed development with two residential towers, 28 and 38 storey's, with 538 units, includes retail and community space.","1871, 1879, 1885 WESTON RD",1.91406E+18
Etobicoke York District,OPA / Rezoning,21 234039 WET 05 OZ,1879 WESTON RD    ,2021-11-04,Under Review ,"Proposed development with two residential towers, 28 and 38 storey's, with 538 units, includes retail and community space.","1871, 1879, 1885 WESTON RD",1.91406E+18
Etobicoke York District,OPA / Rezoning,21 234039 WET 05 OZ,1885 WESTON RD    ,2021-11-04,Under Review ,"Proposed development with two residential towers, 28 and 38 storey's, with 538 units, includes retail and community space.","1871, 1879, 1885 WESTON RD",1914
Toronto and East York District,OPA / Rezoning,21 235157 STE 19 OZ,2721 DANFORTH AVE    ,2021-11-07,Application Received,"Official plan anfd Zoning By-law Amendment to facilitate the redevelopment of the site for two mixed-use towers having heights of 35 and 55-storeys. The proposed non-residential gross floor area is 390 square metres, and the proposed residential gross floor area is 74,940 square metres.  A total of 1139 residential dwelling units are proposed.",2721 DANFORTH AVE,1.9041E+18
Toronto and East York District,OPA / Rezoning,21 232793 STE 10 OZ,9 NIAGARA ST    ,2021-11-01,Under Review ,"Application to amend the Zoning By-law Amendment to allow the redevelopment of the site with a 23-storey mixed-use building having a non-residential gross floor area of 2640 square metres, and a residential gross floor area of 14,459.90 square metres.  A total of 182 residential dwelling units are proposed.",1& 9 NIAGARA ST & 18 PORTLAND ST,1.90406E+18
Toronto and East York District,OPA / Rezoning,21 232793 STE 10 OZ,18 PORTLAND ST    ,2021-11-01,Under Review ,"Application to amend the Zoning By-law Amendment to allow the redevelopment of the site with a 23-storey mixed-use building having a non-residential gross floor area of 2640 square metres, and a residential gross floor area of 14,459.90 square metres.  A total of 182 residential dwelling units are proposed.",1& 9 NIAGARA ST & 18 PORTLAND ST,1.90406E+18
Toronto and East York District,OPA / Rezoning,21 232793 STE 10 OZ,1 NIAGARA ST    ,2021-11-01,Under Review ,"Application to amend the Zoning By-law Amendment to allow the redevelopment of the site with a 23-storey mixed-use building having a non-residential gross floor area of 2640 square metres, and a residential gross floor area of 14,459.90 square metres.  A total of 182 residential dwelling units are proposed.",1& 9 NIAGARA ST & 18 PORTLAND ST,1.90406E+18
Toronto and East York District,OPA / Rezoning,21 233780 STE 11 OZ,25 MC MURRICH ST    ,2021-11-03,Application Received,"Zoning by-law amendment application for 33 and 19-storey buildings on the lot, having a non-residential gross floor area of 74.9 square metres and a residential gross floor area of 28,376.10 square metres.  A total of 401 units are proposed.",906 YONGE ST & 25 MC MURRICH ST,1.90405E+18
Toronto and East York District,OPA / Rezoning,21 233780 STE 11 OZ,906 YONGE ST    ,2021-11-03,Application Received,"Zoning by-law amendment application for 33 and 19-storey buildings on the lot, having a non-residential gross floor area of 74.9 square metres and a residential gross floor area of 28,376.10 square metres.  A total of 401 units are proposed.",906 YONGE ST & 25 MC MURRICH ST,1.90405E+18
Toronto and East York District,OPA / Rezoning,21 234418 STE 04 OZ,403 KEELE ST    ,2021-11-04,Application Received,"Zoning By-law amendment application to facilitate the redevelopment of the site for an 11-storey mixed-use building having a non-residential gross floor area of 103.9 square metres, and a residential gross floor area of 12842.9 square metres.",403 KEELE ST,1.90401E+18
Toronto and East York District,OPA / Rezoning,21 234923 STE 12 OZ,1910 YONGE ST    ,2021-11-05,Application Received,"Zoning By-law Amendment application to facilitate the redevelopment of the site for a mixed-use building comprised of two towers having heights of 45-storeys, inclusive of a 10-storey podium.  The proposed non-residential gross floor area is 15007 square metres, and the proposed residential gross floor area is 68,628 square metres.  880 residential dwelling units are proposed.","1910, 1920, 1944 YONGE ST",1.90411E+18
Toronto and East York District,OPA / Rezoning,21 234923 STE 12 OZ,1920 YONGE ST    ,2021-11-05,Application Received,"Zoning By-law Amendment application to facilitate the redevelopment of the site for a mixed-use building comprised of two towers having heights of 45-storeys, inclusive of a 10-storey podium.  The proposed non-residential gross floor area is 15007 square metres, and the proposed residential gross floor area is 68,628 square metres.  880 residential dwelling units are proposed.","1910, 1920, 1944 YONGE ST",1.90411E+18
Toronto and East York District,OPA / Rezoning,21 234923 STE 12 OZ,1944 YONGE ST    ,2021-11-05,Application Received,"Zoning By-law Amendment application to facilitate the redevelopment of the site for a mixed-use building comprised of two towers having heights of 45-storeys, inclusive of a 10-storey podium.  The proposed non-residential gross floor area is 15007 square metres, and the proposed residential gross floor area is 68,628 square metres.  880 residential dwelling units are proposed.","1910, 1920, 1944 YONGE ST",1.90411E+18
Toronto and East York District,OPA / Rezoning,21 233897 STE 12 OZ,50 MERTON ST    ,2021-11-03,Under Review ,"Zoning By-law Amendment Application to facilitate the redevelopment of the site for a 39-storey mixed-use building having a non-residential gross floor area of 2342.0 square metres and a residential gross floor area of 29,326.0 square metres.  A total of 443 residential dwelling units are proposed.",50-64 MERTON ST,1.9041E+18
North York District,OPA / Rezoning,21 234538 NNY 06 OZ,155 ANTIBES DR    ,2021-11-05,Application Received,"Zoning By-law amendment for two residential towers. Building A is a 34-storey tower (111.4 metres including MPH) with a seven-storey podium, and Building B is a 32-storey tower (106.5 metres including MPH) with a seven-storey podium. Buildings A & B will contain 389 and 352 residential units, respectively, as well as indoor amenity space, loading and servicing space, and at-grade entrances to the underground parking garage. Block C and Block D¿are two blocks of three-storey (plus rooftop amenity) back-to-back townhouses fronting onto Antibes Drive, comprising a total of 24 units.



In total, the Subject Site will accommodate 1,024 residential dwelling units, including 717 new residential units, 24 new townhouses, and 259 retained rental apartment units.  The proposed residential gross floor area for the development is 57,403.0 square metres.",155 ANTIBES DR,1.90805E+18
North York District,OPA / Rezoning,21 233896 NNY 08 OZ,36 EGLINTON AVE W  ,2021-11-03,Under Review ,"Official plan amendment to facilitate the redevelopment of the site for a 65-storey mixed-use building having a non-residential gross floor area of 549.8 square metres, and a residential gross floor area of 44,562.0 square metres.  A total of 663 residential units are proposed.",36-44 EGLINTON AVE W,1.90411E+18
Toronto and East York District,OPA / Rezoning,21 234917 STE 12 OZ,289 BALLIOL ST    ,2021-11-05,Application Received,"Zoning by-law amendment application for a 28-storey residential building having a gross floor area of 17,354.40 square metres.  260 dwelling units are proposed.",289-299 BALLIOL ST,1.9041E+18
Toronto and East York District,OPA / Rezoning,21 234917 STE 12 OZ,291 BALLIOL ST    ,2021-11-05,Application Received,"Zoning by-law amendment application for a 28-storey residential building having a gross floor area of 17,354.40 square metres.  260 dwelling units are proposed.",289-299 BALLIOL ST,1.9041E+18
Toronto and East York District,OPA / Rezoning,21 234917 STE 12 OZ,293 BALLIOL ST    ,2021-11-05,Application Received,"Zoning by-law amendment application for a 28-storey residential building having a gross floor area of 17,354.40 square metres.  260 dwelling units are proposed.",289-299 BALLIOL ST,1.9041E+18
Toronto and East York District,OPA / Rezoning,21 234917 STE 12 OZ,295 BALLIOL ST    ,2021-11-05,Application Received,"Zoning by-law amendment application for a 28-storey residential building having a gross floor area of 17,354.40 square metres.  260 dwelling units are proposed.",289-299 BALLIOL ST,1.9041E+18
Toronto and East York District,OPA / Rezoning,21 234917 STE 12 OZ,297 BALLIOL ST    ,2021-11-05,Application Received,"Zoning by-law amendment application for a 28-storey residential building having a gross floor area of 17,354.40 square metres.  260 dwelling units are proposed.",289-299 BALLIOL ST,1.9041E+18
Toronto and East York District,OPA / Rezoning,21 234917 STE 12 OZ,299 BALLIOL ST    ,2021-11-05,Application Received,"Zoning by-law amendment application for a 28-storey residential building having a gross floor area of 17,354.40 square metres.  260 dwelling units are proposed.",289-299 BALLIOL ST,1904
Scarborough District,OPA / Rezoning,21 233427 ESC 20 OZ,40 EGLINTON SQ    ,2021-11-02,Application Received,"mixed use development comprised of 3 buildings (a 13-storey mixed use building; a 25-storey residential buildings; and, a 30-storey residential buildings) with three levels of underground parking. The development has a total gross floor area of 74,427m² (Retail GFA: 3,752m²; and, Residential GFA: 70,675m²).",40 EGLINTON SQ,1.90102E+18
